seq;Amplitude;min;max;Dur_Cheia;Dur_Enchente;Dur_Seca;Dur_Vazante;intensEnch;intensVaz;Ano
77;11.29;17.68;28.97;134;141;71;48;0.047;-0.128;1982
78;8.24;18.28;26.52;46;159;59;58;0.0354;-0.1135;1983
79;10.95;17.08;28.03;128;115;116;60;0.0491;-0.1018;1984
80;6.69;19.58;26.27;28;189;54;126;0.0247;-0.0561;1985
81;8.4;19.74;28.14;130;140;12;44;0.0376;-0.1133;1986
82;7.86;20.05;27.91;112;179;1;57;0.0275;-0.1046;1987
83;9.79;17.99;27.78;104;137;85;37;0.044;-0.1677;1988
84;12.17;17.82;29.99;182;103;69;106;0.052;-0.0344;1989
85;9.89;18.34;28.23;148;68;34;32;0.061;-0.1561;1990
86;11.74;16.32;28.06;123;136;67;37;0.0446;-0.1688;1991
87;9.35;16.07;25.42;1;73;155;125;0.0475;-0.0478;1992
88;11.2;17.56;28.76;148;99;84;60;0.0554;-0.0998;1993
89;9.58;19.47;29.05;181;118;25;63;0.0383;-0.0962;1994
90;8.1;19.06;27.16;78;158;32;40;0.036;-0.173;1995
91;13.48;15.06;28.54;150;101;92;42;0.057;-0.1458;1996
92;9.7;19.14;28.84;139;116;56;35;0.0484;-0.1711;1997
93;13.24;14.34;27.58;93;116;122;37;0.0548;-0.1572;1998
94;14.27;15.03;29.3;183;62;111;32;0.0603;-0.2057;1999
95;11.67;16.95;28.62;136;106;88;64;0.0586;-0.0977;2000
96;9.64;18.57;28.21;134;95;53;50;0.0543;-0.131;2001
97;12.1;16.81;28.91;144;107;82;39;0.0546;-0.1478;2002
98;11.08;17.19;28.27;121;153;47;45;0.0417;-0.1416;2003
99;8.12;19.01;27.13;85;119;86;81;0.0429;-0.0813;2004
100;8.87;19.23;28.1;118;111;51;41;0.051;-0.1521;2005
101;14.09;14.75;28.84;161;74;105;43;0.0602;-0.1401;2006
102;11.29;16.89;28.18;115;138;76;39;0.0465;-0.1586;2007
103;10.88;17.74;28.62;149;103;74;42;0.0483;-0.1527;2008
104;11.34;18.43;29.77;198;80;66;32;0.0503;-0.1928;2009
105;12.1;15.86;27.96;102;114;83;38;0.0578;-0.16;2010
106;14.99;13.63;28.62;123;86;124;29;0.0663;-0.2084;2011
107;13.21;16.76;29.97;180;62;99;33;0.0672;-0.187;2012
108;13.37;15.96;29.33;163;63;105;56;0.0725;-0.112;2013
109;10.15;19.35;29.5;174;121;30;43;0.0464;-0.1524;2014
110;9.76;19.9;29.66;178;135;11;26;0.047;-0.218;2015
111;11.27;15.92;27.19;98;67;143;44;0.0543;-0.1379;2016
112;11.8;17.2;29;163;63;99;29;0.067;-0.2184;2017
113;11.04;17.34;28.38;124;123;100;47;0.046;-0.1245;2018
114;12.37;17.05;29.42;166;104;55;33;0.0511;-0.0987;2019
